Drugid;Navn;Lægemiddelform;Styrketekst;AktiveSubstanser;MftIndehaver;ATC-kode;Godkendt procedure;Godkendt rolle;Registreringsdato;Er i Medicinpriser;;
28120215193;(131-I)Meta-iodobenzylguanidine diagn. GE Healthca;injektionsvæske;;Iobenguan (131-I);GE Healthcare Buchler GmbH . & Co KG;V09IX02;National;DKMA;31-01-1995;Nej;;
28120215293;(131-I)Meta-iodobenzylguanidine therap. GE Health.;injektionsvæske;;Iobenguan (131-I), Natriumiodid (131-I);GE Healthcare Buchler GmbH . & Co KG;V10XA02;National;DKMA;30-01-1995;Nej;;
28106323319;"Abacavir ""Accord""";filmovertrukne tabletter;300 mg;Abacavir;Accord Healthcare B.V.;J05AF06;MRP;CMS;29-05-2020;Nej;;
28105588715;"Abacavir/Lamivudine ""Accord""";filmovertrukne tabletter;600+300 mg;Abacavir, LAMIVUDIN;Accord Healthcare B.V.;J05AR02;Decentral procedure;CMS;10-05-2016;Nej;;
28106070718;"Abacavir/Lamivudine ""Glenmark""";filmovertrukne tabletter;600+300 mg;Abacavirhydrochlorid, LAMIVUDIN;Glenmark Arzneimittel GmbH;J05AR02;MRP;CMS;04-06-2018;Ja;;
28105535814;"Abacavir/Lamivudine ""Sandoz""";filmovertrukne tabletter;600+300 mg;Abacavirhydrochlorid, LAMIVUDIN;Sandoz A/S;J05AR02;Decentral procedure;CMS;16-09-2016;Nej;;
28105684015;"Abacavir/Lamivudine ""Stada""";filmovertrukne tabletter;600+300 mg;Abacavir, LAMIVUDIN;STADA Arzneimittel AG;J05AR02;Decentral procedure;CMS;15-06-2016;Ja;;
28105542515;"Abacavir/Lamivudine ""Teva""";filmovertrukne tabletter;600+300 mg;Abacavirhydrochlorid, LAMIVUDIN;Teva B.V.;J05AR02;Decentral procedure;CMS;02-06-2016;Nej;;
28106059118;"Abacavir/Lamivudin ""Medical Valley""";filmovertrukne tabletter;600+300 mg;Abacavirsulfat, LAMIVUDIN;Medical Valley Invest AB;J05AR02;Decentral procedure;CMS;28-02-2019;Nej;;
28102960614;"Abacavir/Lamivudin ""Mylan""";filmovertrukne tabletter;600+300 mg;Abacavirhydrochlorid, LAMIVUDIN;Mylan AB;J05AR02;Decentral procedure;CMS;20-09-2016;Ja;;
28105723816;"Abacavir/Lamivudin ""Mylan Pharma""";filmovertrukne tabletter;600+300 mg;Abacavirsulfat, LAMIVUDIN;Mylan AB;J05AR02;Decentral procedure;CMS;13-12-2017;Nej;;
28105298713;Abasaglar;injektionsvæske, opløsning i cylinderampul;100 UML;Insulin glargin;Eli Lilly Nederland B.V.;A10AE04;Central;MOD;09-09-2014;Nej;;
28105484214;Abasaglar KwikPen;injektionsvæske, opløsning i fyldt pen;100 E/ml;Insulin glargin;Eli Lilly Nederland B.V.;A10AE04;Central;MOD;09-09-2014;Ja;;
28106333619;Abasaglar Tempo Pen;injektionsvæske, opløsning i fyldt pen;100 E/ML;Insulin glargin;Eli Lilly Nederland B.V.;A10AE04;Central;MOD;23-07-2020;Nej;;
28100157755;Abboticin;filmovertrukne tabletter;250 mg;ERYTHROMYCINSTEARAT;Amdipharm Limited;J01FA01;National;DKMA;23-11-1955;Nej;;
28100620972;Abboticin;filmovertrukne tabletter;500 mg;ERYTHROMYCINSTEARAT;Amdipharm Limited;J01FA01;National;DKMA;15-10-1973;Ja;;
28101191784;Abboticin;granulat til oral suspension;100 mg/ml;ERYTHROMYCINETHYLSUCCINAT;Amdipharm Limited;J01FA01;National;DKMA;04-06-1985;Ja;;
28100627873;Abboticin;granulat til oral suspension;40 mg/ml;ERYTHROMYCINETHYLSUCCINAT;Amdipharm Limited;J01FA01;National;DKMA;15-10-1973;Ja;;
