ATC;Anbefaling
A02BC;Seponér protonpumpehæmmer ved funktionel dyspepsi (symptomer uden organisk forklaring). HVORFOR: PPI øger risikoen for mavetarminfektioner og kan øge risikoen for fraktur. HVORDAN: Kan seponeres uden aftrapning eller ved aftrapning, hvor dosis halveres (fx hver 2. uge). Efter behandling i mere end 4-8 uger kan der forekomme øget syresekretion (rebound). Brug i disse tilfælde syreneutraliserende midler p.n. i en periode.
A02BC;Seponér protonpumpehæmmer ved ukompliceret ulcus (ingen blødning eller perforation) når patienten er symptomfri (tager op til 4 uger). HVORFOR: PPI øger risikoen for mavetarminfektioner og kan øge risikoen for fraktur. HVORDAN: Kan seponeres uden aftrapning eller ved aftrapning, hvor dosis halveres (fx hver 2. uge). Efter behandling i mere end 4-8 uger kan der forekomme øget syresekretion (rebound). Brug i disse tilfælde syreneutraliserende midler p.n. i en periode.
A02BC;Seponér protonpumpehæmmer ved ophør af lægemidler, hvor PPI alene er givet som ulcusprofylakse (fx NSAID [inkl. ASA], prednisolon og SSRI). HVORFOR: PPI øger risikoen for mavetarminfektioner og kan øge risikoen for fraktur. HVORDAN: Kan seponeres uden aftrapning eller ved aftrapning, hvor dosis halveres (fx hver 2. uge). Efter behandling i mere end 4-8 uger kan der forekomme øget syresekretion (rebound). Brug i disse tilfælde syreneutraliserende midler p.n. i en periode.
A03FA01;Seponér metoclopramid inden for 5 dage. HVORFOR: Der er set alvorlige bivirkninger (fx ekstrapyramidale og kardielle bivirkninger). HVORDAN: Kan seponeres uden aftrapning - både efter fast og p.n. behandling.
A03FA03;Seponér domperidon inden for 7 dage. HVORFOR: Der er set alvorlige bivirkninger (fx ekstrapyramidale og kardielle bivirkninger). HVORDAN: Kan seponeres uden aftrapning - både efter fast og p.n. behandling.
B01AC06;"Seponér acetylsalicylsyre (ASA) ved fravær af manifest kardiovaskulær sygdom og/eller diabetes. HVORFOR: ASA anbefales generelt ikke som primær profylakse, da den forebyggende effekt ikke opvejer blødningsrisikoen. Enterocoating (fx Hjertealbyl) mindsker ikke risikoen for GI-bivirkninger. Ved diabetes anbefales ASA ved tilstedeværelse af: kardiovaskulær sygdom (Iskæmisk hjertesygdom, perifer åreforkalkning, apoplexi eller TCI); nyresygdom (albuminuri og/eller eGFR mindre end 60 ml/min/1.73m”); meget høj kardiovaskulær risiko defineret ved 3 eller flere af følgende risikofaktorer: alder over 60 år, mandligt køn, familiær disposition til kardiovaskulær sygdom, ukontrolleret dyslipidæmi eller hypertension, rygning. HVORDAN: Kan seponeres uden aftrapning."
B01AC06;Overvej seponering af enten trombocythæmmer eller antikoagulerende behandling, hvis der ikke er lagt en plan for det. Fx. ASA kombinderet med warfarin, DOAK (fx Xarelto) eller clopidogrel. Livslang kombinationsbehandling er meget sjældent indiceret. Efter akut kardiovaskulær sygdom, fx akut koronart syndrom eller visse typer apopleksi, gives det hos udvalgte patienter i en periode, ofte 3-12 måneder. Kontakt specialist ved tvivl. HVORDAN: Kan seponeres uden aftrapning
C01DA;Overvej seponering af langtidsvirkende nitrater ved stabil iskæmisk hjertesygdom uden symptomer (typisk 1-6 måneder efter revaskularisering). HVORDAN: Kan seponeres uden aftrapning. Fortsæt p.n. behandling med hurtigtvirkende nitroglycerin.
C03EB;Seponér loop-diuretika ved ukompliceret hypertension. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C03CA;Seponér loop-diuretika ved ukompliceret hypertension. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C03EB;Seponér loop-diuretika ved perifere ødemer uden organspecifik årsag. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C03CA;Seponér loop-diuretika ved perifere ødemer uden organspecifik årsag. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C03EB;Nedtrap loop-diuretika til lavest mulige dosis ved hjerteinsufficiens. Effekten er kun symptomatisk. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C03CA;Nedtrap loop-diuretika til lavest mulige dosis ved hjerteinsufficiens. Effekten er kun symptomatisk. HVORFOR: Diuretika er hyppig årsag til indlæggelser pga. fald, elektrolytforstyrrelser mv. HVORDAN: Bør seponeres ved aftrapning, pga risiko for væskeophobning (rebound). Husk vægt- og elektrolytkontrol og hold øje med evt. recidiv af inkompensation. Vær obs på justering af kaliumtilskud ved seponering eller reduktion i dosis.
C07AG01;Seponer betablokkere senest 2 år efter akut myokardieinfarkt med ST-elevation (STEMI), medmindre der findes andre grunde til at fortsætte behandlingen (fx systolisk hjertesvigt eller hypertension). HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AB;Seponer betablokkere senest 2 år efter akut myokardieinfarkt med ST-elevation (STEMI), medmindre der findes andre grunde til at fortsætte behandlingen (fx systolisk hjertesvigt eller hypertension). HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AA;Seponer betablokkere senest 2 år efter akut myokardieinfarkt med ST-elevation (STEMI), medmindre der findes andre grunde til at fortsætte behandlingen (fx systolisk hjertesvigt eller hypertension). HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AG02;Seponer betablokkere senest 2 år efter akut myokardieinfarkt med ST-elevation (STEMI), medmindre der findes andre grunde til at fortsætte behandlingen (fx systolisk hjertesvigt eller hypertension). HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AG01;Seponer betablokkere anvendt som monoterapi ved ukompliceret hypertension. HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AB;Seponer betablokkere anvendt som monoterapi ved ukompliceret hypertension. HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AA;Seponer betablokkere anvendt som monoterapi ved ukompliceret hypertension. HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C07AG02;Seponer betablokkere anvendt som monoterapi ved ukompliceret hypertension. HVORDAN: Bør seponeres ved aftrapning over 1-2 uger pga. risiko for seponeringssyndrom (takykardi, hovedpine, svedeture og trykken i brystet).
C10AA;Seponér statiner ved kort forventet restlevetid og/eller svær skrøbelighed. HVORDAN: Kan seponeres uden aftrapning.
C10BA;Seponér statiner ved kort forventet restlevetid og/eller svær skrøbelighed. HVORDAN: Kan seponeres uden aftrapning.
