"category","medicine_name","ema_product_number","medicine_status","inn_common_name","active_substance","atc_code_human","therapeutic_indication","marketing_authorisation_holder","marketing_authorisation_date","first_published_date","last_updated_date","medicine_url","ema_slug","source","source_label","source_file_type","source_file_url","source_file_downloaded_at","source_file_local_path","search_key"
"Human","Abasaglar (previously Abasria)","EMEA/H/C/002835","Authorised","insulin glargine","insulin glargine","A10AE04","Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.","Eli Lilly Nederland B.V.","09/09/2014","27/02/2018","21/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abasaglar","abasaglar","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abasaglar previously abasria insulin glargine insulin glargine a10ae04 eli lilly nederland b v"
"Human","Abecma","EMEA/H/C/004662","Authorised","idecabtagene vicleucel","idecabtagene vicleucel","L01","Abecma is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti CD38 antibody and have demonstrated disease progression on the last therapy.","Bristol-Myers Squibb Pharma EEIG","18/08/2021","25/08/2021","09/12/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/abecma","abecma","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abecma idecabtagene vicleucel idecabtagene vicleucel l01 bristol myers squibb pharma eeig"
"Human","Abevmy","EMEA/H/C/005327","Authorised","bevacizumab","bevacizumab","L01FG01","Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Abevmy in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1). Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1). Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents (see section 5.1). Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).","Biosimilar Collaborations Ireland Limited","21/04/2021","24/02/2021","28/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abevmy","abevmy","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abevmy bevacizumab bevacizumab l01fg01 biosimilar collaborations ireland limited"
"Human","Abilify","EMEA/H/C/000471","Authorised","aripiprazole","aripiprazole","N05AX12","Abilify is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older. Abilify is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment. Abilify is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.","Otsuka Pharmaceutical Netherlands B.V.","04/06/2004","26/03/2018","12/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abilify","abilify","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abilify aripiprazole aripiprazole n05ax12 otsuka pharmaceutical netherlands b v"
"Human","Abilify Maintena","EMEA/H/C/002755","Authorised","aripiprazole","aripiprazole","N05AX12","Maintenance treatment of schizophrenia in adult patients stabilised with oral aripiprazole.","Otsuka Pharmaceutical Netherlands B.V.","14/11/2013","27/08/2018","28/10/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/abilify-maintena","abilify-maintena","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abilify maintena aripiprazole aripiprazole n05ax12 otsuka pharmaceutical netherlands b v"
"Human","Abilify MyCite","EMEA/H/C/005062","Application withdrawn","aripiprazole","aripiprazole","N05AX12","Treatment of schizophrenia, or of moderate to severe manic episodes in bipolar I disorder with sensor to measure medication adherence","Otsuka Pharmaceutical Netherlands B.V.","","24/07/2020","22/10/2020","https://www.ema.europa.eu/en/medicines/human/EPAR/abilify-mycite","abilify-mycite","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abilify mycite aripiprazole aripiprazole n05ax12 otsuka pharmaceutical netherlands b v"
"Human","Abiraterone Accord","EMEA/H/C/005408","Authorised","abiraterone","abiraterone acetate","L02BX03","Abiraterone Accord is indicated with prednisone or prednisolone for: the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT) the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.","Accord Healthcare S.L.U.","26/04/2021","05/05/2021","14/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-accord","abiraterone-accord","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abiraterone accord abiraterone acetate abiraterone l02bx03 accord healthcare s l u"
"Human","Abiraterone Krka","EMEA/H/C/005649","Authorised","abiraterone acetate","abiraterone acetate","L02BX03","Abiraterone Krka is indicated with prednisone or prednisolone for: the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT) (see section 5.1) the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated (see section 5.1) the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.","Krka, d.d., Novo mesto","24/06/2021","23/11/2021","16/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-krka","abiraterone-krka","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abiraterone krka abiraterone acetate abiraterone acetate l02bx03 krka d d novo mesto"
"Human","Abiraterone Mylan","EMEA/H/C/005368","Authorised","abiraterone acetate","abiraterone acetate","L02BX03","Abiraterone Mylan is indicated with prednisone or prednisolone for: the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT). the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated. the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.","Mylan Pharmaceuticals Limited","20/08/2021","26/08/2021","19/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-mylan","abiraterone-mylan","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abiraterone mylan abiraterone acetate abiraterone acetate l02bx03 mylan pharmaceuticals limited"
"Human","Ablavar (previously Vasovist)","EMEA/H/C/000601","Withdrawn","gadofosveset trisodium","gadofosveset trisodium","V08CA","This medicinal product is for diagnostic use only. Ablavar is indicated for contrast-enhanced magnetic resonance angiography (CE-MRA) for visualisation of abdominal or limb vessels in adults only, with suspected or known vascular disease.","TMC Pharma Services Ltd.","03/10/2005","15/05/2011","14/11/2011","https://www.ema.europa.eu/en/medicines/human/EPAR/ablavar","ablavar","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","ablavar previously vasovist gadofosveset trisodium gadofosveset trisodium v08ca tmc pharma services ltd"
